timestamp;importance_type;scenario;age;anosmia;cough;diarrhea;fever;minor_severity_factor;risk_factor;sore_throat_aches
2020-04-27 18:21:31,826;SOBOL_TOTAL;A;0.25855;0.09159;0.18407;0.31346;0.35881;0.10782;0.27967;0.09648
2020-04-27 18:21:44,150;SOBOL_TOTAL;A;0.26383;0.09098;0.18328;0.30688;0.35303;0.09941;0.30044;0.09075
2020-04-27 18:21:56,332;SOBOL_TOTAL;A;0.25887;0.09621;0.18065;0.31486;0.35975;0.10155;0.28309;0.09066
2020-04-27 18:22:08,667;SOBOL_TOTAL;A;0.25803;0.09031;0.18017;0.31497;0.36769;0.10343;0.29562;0.09476
2020-04-27 18:22:20,761;SOBOL_TOTAL;A;0.26398;0.09516;0.17924;0.30990;0.35227;0.10581;0.29481;0.08895
2020-04-27 18:22:32,896;SOBOL_TOTAL;A;0.25940;0.09747;0.18076;0.31080;0.35466;0.10921;0.28842;0.09415
2020-04-27 18:22:44,921;SOBOL_TOTAL;A;0.25997;0.08851;0.17524;0.30890;0.37717;0.10341;0.30067;0.09363
2020-04-27 18:22:57,027;SOBOL_TOTAL;A;0.25983;0.09335;0.18226;0.31317;0.35251;0.10669;0.29339;0.09624
2020-04-27 18:23:09,012;SOBOL_TOTAL;A;0.26035;0.09427;0.18320;0.31170;0.35350;0.10694;0.29703;0.09138
2020-04-27 18:23:21,138;SOBOL_TOTAL;A;0.26103;0.09405;0.18410;0.31284;0.35152;0.10250;0.29171;0.09672
2020-04-27 18:23:34,679;SOBOL_TOTAL;A;0.26399;0.09578;0.18555;0.31199;0.35755;0.10111;0.29222;0.08644
2020-04-27 18:23:47,102;SOBOL_TOTAL;A;0.26083;0.09568;0.18047;0.31100;0.35384;0.10322;0.29435;0.08990
2020-04-27 18:23:59,258;SOBOL_TOTAL;A;0.26085;0.09923;0.18337;0.31169;0.35231;0.10634;0.28971;0.09280
2020-04-27 18:24:11,505;SOBOL_TOTAL;A;0.26201;0.09534;0.17623;0.31602;0.35868;0.10089;0.28913;0.09378
2020-04-27 18:24:23,748;SOBOL_TOTAL;A;0.26133;0.09652;0.18082;0.30781;0.36208;0.10320;0.28668;0.09741
2020-04-27 18:24:35,971;SOBOL_TOTAL;A;0.25871;0.09262;0.17834;0.31816;0.36090;0.10776;0.29945;0.09930
2020-04-27 22:22:55,265;SHAP_IMPORTANCE;B;0.05834;0.03905;0.06898;0.06633;0.09121;0.05443;0.11861;0.03163
2020-04-27 22:27:50,867;SHAPLEY_EFFECT;B;0.11890;0.03425;0.11247;0.11708;0.20000;0.12141;0.26400;0.03188
2020-04-27 22:28:58,609;SHAPLEY_EFFECT;B;0.12545;0.02726;0.12076;0.12539;0.17808;0.13009;0.26460;0.02838
2020-04-27 22:35:15,961;SHAP_IMPORTANCE;A;0.09723;0.06123;0.10620;0.11074;0.17115;0.03588;0.15345;0.04751
2020-04-27 22:44:08,403;SHAPLEY_EFFECT;A;0.14133;0.04452;0.08712;0.21012;0.24540;0.04707;0.18094;0.04350
2020-04-27 22:45:15,196;SHAPLEY_EFFECT;A;0.14479;0.04239;0.09240;0.20741;0.23436;0.05113;0.18045;0.04708
2020-04-27 22:45:32,137;SHAP_IMPORTANCE;B;0.05625;0.03964;0.06815;0.06106;0.08420;0.06060;0.11577;0.03114
2020-04-27 22:57:53,814;SHAP_IMPORTANCE;A;0.10783;0.05450;0.10243;0.14168;0.18941;0.03765;0.14814;0.04272
2020-04-27 22:59:24,164;SHAPLEY_EFFECT;B;0.11998;0.02401;0.11253;0.12632;0.18397;0.11488;0.28134;0.03696
2020-04-27 23:00:31,619;SHAPLEY_EFFECT;B;0.12362;0.02268;0.12453;0.12620;0.18776;0.12312;0.26139;0.03070
2020-04-27 23:09:03,026;SHAP_IMPORTANCE;B;0.05594;0.03754;0.06783;0.06081;0.08633;0.05915;0.10725;0.02931
2020-04-27 23:15:33,634;SHAPLEY_EFFECT;A;0.13866;0.04218;0.09210;0.20257;0.24991;0.05019;0.18681;0.03758
2020-04-27 23:16:45,000;SHAPLEY_EFFECT;A;0.13759;0.04400;0.09014;0.21164;0.24968;0.04695;0.18126;0.03873
2020-04-27 23:21:05,765;SHAP_IMPORTANCE;A;0.09203;0.05989;0.09980;0.09817;0.17436;0.03256;0.15657;0.04357
2020-04-27 23:30:46,068;SHAPLEY_EFFECT;B;0.11902;0.03723;0.11353;0.12331;0.18411;0.11678;0.26229;0.04372
2020-04-27 23:31:25,236;SHAP_IMPORTANCE;B;0.05734;0.03865;0.07002;0.06709;0.08531;0.05861;0.11673;0.03035
2020-04-27 23:31:59,447;SHAPLEY_EFFECT;B;0.11356;0.03166;0.12700;0.12007;0.17211;0.14081;0.26453;0.03027
2020-04-27 23:44:00,167;SHAP_IMPORTANCE;A;0.10201;0.05310;0.11147;0.10870;0.17464;0.03581;0.15140;0.04710
2020-04-27 23:46:48,283;SHAPLEY_EFFECT;A;0.13583;0.04239;0.08382;0.21231;0.24537;0.04805;0.18579;0.04644
2020-04-27 23:48:06,367;SHAPLEY_EFFECT;A;0.13613;0.04222;0.09214;0.20811;0.24585;0.04855;0.18376;0.04323
2020-04-27 23:54:57,758;SHAP_IMPORTANCE;B;0.06417;0.04055;0.07217;0.07017;0.09139;0.05903;0.12084;0.03287
2020-04-28 00:02:01,042;SHAPLEY_EFFECT;B;0.12275;0.02612;0.12785;0.11840;0.17809;0.12760;0.27361;0.02557
2020-04-28 00:03:22,868;SHAPLEY_EFFECT;B;0.11976;0.02358;0.12332;0.12429;0.18700;0.11709;0.27573;0.02924
2020-04-28 00:07:08,384;SHAP_IMPORTANCE;A;0.09957;0.06058;0.10782;0.09956;0.17293;0.03728;0.15631;0.03977
2020-04-28 00:17:24,320;SHAP_IMPORTANCE;B;0.05881;0.03906;0.06649;0.06332;0.08218;0.05980;0.10918;0.03235
2020-04-28 00:18:05,925;SHAPLEY_EFFECT;A;0.13201;0.03667;0.08964;0.21435;0.24966;0.04803;0.19146;0.03817
2020-04-28 00:19:33,575;SHAPLEY_EFFECT;A;0.14458;0.03880;0.09066;0.20930;0.24543;0.04668;0.18845;0.03610
2020-04-28 00:30:02,677;SHAP_IMPORTANCE;A;0.10452;0.05710;0.10573;0.10768;0.18252;0.03494;0.15322;0.04029
2020-04-28 00:33:15,366;SHAPLEY_EFFECT;B;0.12541;0.02500;0.13223;0.11725;0.18361;0.12630;0.26105;0.02915
2020-04-28 00:34:46,240;SHAPLEY_EFFECT;B;0.12138;0.02760;0.12400;0.11779;0.18131;0.11857;0.27480;0.03455
2020-04-28 00:40:53,584;SHAP_IMPORTANCE;B;0.05891;0.04046;0.07048;0.06613;0.08513;0.05879;0.11756;0.03085
2020-04-28 00:49:18,132;SHAPLEY_EFFECT;A;0.13946;0.03663;0.08793;0.21391;0.25066;0.04772;0.18559;0.03811
